-420.93,39.695,0.62184,-16.013,4.162,36.768,15.725,-3.9861,-10.949,0.1323,-14.134,1.087,2.5346,2.4322
-718.42,22.622,0.62833,-13.549,3.684,11.717,13.411,-3.4918,-9.5577,0.1452,-12.547,1.1186,4.332,4.445
-570.02,22.941,0.70906,-10.16,1.231,7.1373,9.7521,-0.82042,-7.8768,-0.062,-10.438,1.9456,4.1733,3.9231
-410.29,15.974,2.2285,-10.706,2.145,4.6241,10.466,-1.8985,-8.4021,0.4143,-11.163,1.1958,3.5124,3.3218
-868.86,17.901,0.55617,-12.365,3.825,10.312,11.965,-3.5749,-8.3534,0.269,-10.813,1.2002,5.4802,5.7863
-1017.3,15.769,0.53861,-12.816,3.429,10.952,12.659,-3.2109,-9.1147,0.1173,-11.983,1.0778,6.1706,6.5273
-872.62,6.7102,0.42925,-9.562,1.364,6.7102,9.1005,-0.85739,-7.349,0.169,-9.7903,1.0717,6.0949,6.0912
-716.91,14.556,1.4451,-9.925,2.38,4.3827,9.5873,-2.0124,-7.6952,0.0425,-10.247,0.9441,5.535,5.6918
-736.36,20.438,0.38039,-11.109,3.573,9.0624,10.476,-3.3735,-7.321,0.0897,-9.7026,1.1139,4.9848,5.1233
-889.76,16.506,0.36947,-10.641,3.6,8.8134,10.045,-3.3727,-6.9276,-0.0011,-9.3504,1.0384,5.7601,5.92
-628.26,12.514,0.84975,-12.005,1.418,5.3922,11.602,-1.1107,-9.4054,-0.2887,-12.073,0.7005,4.4576,4.6688
-881.91,17.734,0.40029,-10.093,3.833,8.2649,9.452,-3.6933,-6.4807,0.051,-8.8174,1.0623,5.8049,5.9139
-667.84,22.504,0.96987,-12.207,3.182,9.2905,11.336,-3.0035,-7.9787,0.1868,-10.392,1.1432,4.3097,4.5362
-822.49,16.844,0.2616,-12.297,3.316,10.056,11.737,-3.1069,-7.918,-0.0441,-10.42,1.0274,5.0536,5.2946
-691.79,18.476,0.4326,-11.103,-0.071,3.6771,10.235,0.60414,-7.564,-0.8793,-9.948,1.3801,4.5844,4.6625
-810.48,19.494,0.56578,-11.772,3.563,9.5157,11.088,-3.4443,-7.4877,0.0787,-9.9342,1.066,5.116,5.3135
-1168.9,14.635,0.49972,-12.282,3.314,10.61,12.064,-3.1431,-8.5616,0.1531,-10.998,1.0928,7.2808,7.7268
-1169.4,11.459,0.37274,-11.468,3.413,9.4912,11.141,-3.1177,-7.8692,0.1994,-10.257,1.0987,7.3512,7.9673
-1316.2,15.631,0.52928,-12.564,3.271,10.675,12.407,-3.0471,-8.9615,0.1239,-11.746,1.0594,8.0269,8.7616
-1317,15.377,0.42145,-12.657,3.191,10.734,12.43,-2.931,-8.9597,0.0479,-11.638,0.9984,8.0095,8.5876
-1030.4,5.3151,0.81875,-8.677,0.226,5.3151,8.2432,0.24469,-6.7951,-1.01,-8.9363,0.7021,8.5629,7.9314
-871.42,14.382,0.81753,-8.955,0.428,4.0763,8.5907,0.03933,-7.1701,-1.1543,-9.439,0.6052,7.7707,7.4884
-715.38,14.82,3.0758,-9.24,0.797,3.3531,8.9547,-0.48781,-7.6444,-1.0544,-9.9102,0.8388,7.5186,7.1016
-1174.5,6.3306,0.40704,-9.047,1.465,6.3306,8.5793,-0.87935,-6.8844,0.1885,-9.2259,1.0504,8.0699,8.4814
-1175,6.4288,0.41169,-9.171,1.456,6.4288,8.6051,-0.86896,-7.0215,0.0287,-9.3339,0.9536,7.9736,8.1998
-1022.2,13.91,1.6181,-9.269,2.567,4.1617,8.8898,-2.0979,-7.0972,0.0256,-9.5498,0.9003,7.644,8.4757
-1171.1,6.6882,0.44038,-9.514,1.381,6.6882,9.0094,-0.84282,-7.3524,0.0341,-9.6898,1.312,7.9977,8.2978
